Date,Bajaj Open,Bajaj High,Bajaj Low,Bajaj Close,Bajaj Adj Close,Bajaj Volume
11/9/2022,7235,7235,7114.649902,7144,7144,689634
11/7/2022,7248.100098,7250.649902,7111,7190.049805,7190.049805,722494
11/4/2022,7121.600098,7224.899902,7121.600098,7212,7212,921925
11/3/2022,7105,7195,7092.100098,7121.600098,7121.600098,632313
11/2/2022,7207,7240,7140.049805,7156.200195,7156.200195,585914
11/1/2022,7196.950195,7236,7160,7209.5,7209.5,762742
10/31/2022,7094,7149.600098,7046,7144.100098,7144.100098,818986
10/28/2022,7000,7090,6980,7006.850098,7006.850098,839669
10/27/2022,7186,7210,6931,6971.100098,6971.100098,1641458
10/25/2022,7242.549805,7242.549805,7090,7102.899902,7102.899902,909899
10/24/2022,7310,7310,7190,7206.5,7206.5,227884
10/21/2022,7490,7490,7153.049805,7192.75,7192.75,2386960
10/20/2022,7369.950195,7449,7261,7432.399902,7432.399902,1026054
10/19/2022,7417,7440,7350,7380.399902,7380.399902,627177
10/18/2022,7400,7430,7321,7390.399902,7390.399902,906975
10/17/2022,7254.950195,7372.299805,7217,7355.200195,7355.200195,617401
10/14/2022,7300,7345,7221,7272.5,7272.5,839012
10/13/2022,7220.5,7226,7114.700195,7151.649902,7151.649902,608655
10/12/2022,7205,7258.5,7145,7226.200195,7226.200195,740731
10/11/2022,7307,7352.5,7172.600098,7202.799805,7202.799805,732206
10/10/2022,7265,7338,7221,7293.399902,7293.399902,653113
10/7/2022,7385.450195,7407.75,7272.25,7345.149902,7345.149902,991196
10/6/2022,7550,7599,7346.899902,7404.149902,7404.149902,1510060
10/4/2022,7335,7505,7306.350098,7488.700195,7488.700195,1191495
10/3/2022,7337,7398,7144.600098,7171.799805,7171.799805,820198
9/30/2022,7081,7362,7026.799805,7335.75,7335.75,1618665
9/29/2022,7312.5,7316.899902,7088.049805,7104.75,7104.75,969632
9/28/2022,7179,7297.5,7160.100098,7202.5,7202.5,869069
9/27/2022,7325,7379.950195,7210.049805,7242.850098,7242.850098,1142829
9/26/2022,7437,7460,7129,7259.5,7259.5,1875205
9/23/2022,7714.799805,7731.5,7475,7507.149902,7507.149902,1412331
9/22/2022,7670,7778,7600,7719.549805,7719.549805,1281039
9/21/2022,7640,7735,7586.049805,7690.649902,7690.649902,1239262
9/20/2022,7569.950195,7715,7565,7635.399902,7635.399902,1613450
9/19/2022,7275,7524.450195,7190.950195,7496.100098,7496.100098,1648117
9/16/2022,7385,7480.149902,7194.350098,7274.100098,7274.100098,1187036
9/15/2022,7489.950195,7532.850098,7369.700195,7386.299805,7386.299805,717420
9/14/2022,7272.149902,7560,7272.149902,7483.450195,7483.450195,1493388
9/13/2022,7330,7444,7312.399902,7403.450195,7403.450195,1382700
9/12/2022,7216.850098,7319.899902,7187.850098,7286.899902,7286.899902,834716
9/9/2022,7300,7324,7165,7180.899902,7180.899902,649607
9/8/2022,7220,7279.450195,7175,7257.649902,7257.649902,772251
9/7/2022,7078,7207.950195,7070,7166.5,7166.5,791994
9/6/2022,7228.75,7255,7105,7119.350098,7119.350098,791905
9/5/2022,7190.700195,7254,7158,7196.200195,7196.200195,707025
9/2/2022,7217.100098,7313,7173.450195,7190.350098,7190.350098,906370
9/1/2022,7228.600098,7333.850098,7142,7181.299805,7181.299805,1462579
8/30/2022,7000,7335,7000,7306.25,7306.25,1731381
8/29/2022,6881,7015.5,6861.350098,6964.350098,6964.350098,996735
8/26/2022,7120,7141.5,7025.700195,7062.100098,7062.100098,759139
8/25/2022,7212.799805,7239,7025.100098,7047.149902,7047.149902,1354296
8/24/2022,7165,7236.399902,7140,7176.899902,7176.899902,953096
8/23/2022,7085,7250,7050,7207.700195,7207.700195,1088603
8/22/2022,7261,7279.799805,7088.850098,7102.200195,7102.200195,1060862
8/19/2022,7510,7538.700195,7271,7301.700195,7301.700195,1100427
8/18/2022,7490,7588.799805,7452.399902,7488.25,7488.25,835354
8/17/2022,7300,7638,7296,7527.100098,7527.100098,2344414
8/16/2022,7339,7384,7272.100098,7286.100098,7286.100098,804464
8/12/2022,7302,7343,7272.049805,7309.399902,7309.399902,1036941
8/11/2022,7244,7325,7217.350098,7318.950195,7318.950195,1027051
8/10/2022,7369,7369,7105,7149.399902,7149.399902,1906523
8/8/2022,7300,7398,7264,7342.200195,7342.200195,957482
8/5/2022,7339.950195,7367.950195,7276.049805,7304.700195,7304.700195,758078
8/4/2022,7338.950195,7385,7205,7316.649902,7316.649902,949481
